Week,Name,Pos,Team,Opp,Projected,Actual,Injury?
3,Puka Nacua,WR,LAR,CIN,16.2,12.2,N
3,Jordan Addison,WR,MIN,LAC,10.9,11.2,N
3,Tutu Atwell,WR,LAR,CIN,11.6,17.2,N
3,Gardner Minshew,QB,IND,BAL,15.2,13.08,N
3,Andy Dalton,QB,CAR,SEA,12.7,23.54,N
3,Jerome Ford,RB,CLE,TEN,13.2,19.1,N
3,Gus Edwards,RB,BAL,IND,12.9,5.1,Y
3,Jaylen Warren,RB,PIT,LV,12.3,8.2,N
3,Kenneth Gainwell,RB,PHI,TB,10.4,5.8,N
3,Jayden Reed,WR,GB,NO,10.9,9.3,N
3,Robert Woods,WR,HOU,JAX,10.8,6.4,N
3,Elijah Moore,WR,CLE,TEN,10.5,11.8,N
3,Josh Reynolds,WR,DET,ATL,10,0,N
4,Justin Jefferson,WR,MIN,CAR,22.1,26.5,N
4,Ja'Marr Chase,WR,CIN,TEN,19.7,14.3,N
4,Christian McCaffrey,RB,SF,ARI,21.1,48.7,N
4,Travis Kelce,TE,KC,NYJ,17,12,N
4,Tyreek Hill,WR,MIA,BUF,22.1,10.2,N
4,Bijan Robinson,RB,ATL,JAX,17.7,18.7,N
4,Davante Adams,WR,LV,LAC,20.6,15.5,N
4,Derrick Henry,RB,TEN,CIN,16.9,24.38,N
4,Stefon Diggs,WR,BUF,MIA,17.8,36,N
4,Patrick Mahomes,QB,KC,NYJ,21.2,13.22,N
4,Tony Pollard,RB,DAL,NE,18.6,9,N
4,CeeDee Lamb,WR,DAL,NE,14.8,14.8,N
4,Garrett Wilson,WR,NYJ,KC,13.9,15,N
4,Josh Jacobs,RB,LV,LAC,15.2,27.9,N
4,A.J. Brown,WR,PHI,WAS,15.7,38.5,N
4,Josh Allen,QB,BUF,MIA,20.9,36.5,N
4,Amon-Ra St. Brown,WR,DET,GB,16.7,16.6,N
4,Jalen Hurts,QB,PHI,WAS,21.7,24.16,N
4,Joe Mixon,RB,CIN,TEN,14.7,8.6,N
4,DK Metcalf,WR,SEA,NYG,14.4,12.4,N
4,Jaylen Waddle,WR,MIA,BUF,14.7,8.6,N
4,Tee Higgins,WR,CIN,TEN,14.4,3.9,Y
4,Travis Etienne Jr.,RB,JAX,ATL,17.5,10.2,N
4,Chris Olave,WR,NO,TB,16.8,1.4,N
4,Najee Harris,RB,PIT,HOU,11.2,11.3,N
4,DeVonta Smith,WR,PHI,WAS,14.4,14.8,N
4,Lamar Jackson,QB,BAL,CLE,17.9,28.14,N
4,Aaron Jones,RB,GB,DET,14.1,2.4,N
4,Jahmyr Gibbs,RB,DET,GB,12.5,9.1,N
4,Joe Burrow,QB,CIN,TEN,18.9,4.7,N
4,Deebo Samuel,WR,SF,ARI,16.6,0.6,N
4,Mark Andrews,TE,BAL,CLE,12.2,25,N
4,Rhamondre Stevenson,RB,NE,DAL,12.8,6,N
4,Calvin Ridley,WR,JAX,ATL,14.2,11.8,N
4,Keenan Allen,WR,LAC,LV,19.8,12.2,N
4,Dameon Pierce,RB,HOU,PIT,12.4,11.8,N
4,Amari Cooper,WR,CLE,BAL,12,2.6,N
4,Justin Herbert,QB,LAC,LV,21.9,23.38,N
4,T.J. Hockenson,TE,MIN,CAR,14.1,4.4,N
4,Justin Fields,QB,CHI,DEN,20,27.9,N
4,Darren Waller,TE,NYG,SEA,10.9,5.1,N
4,Christian Watson,WR,GB,DET,11.2,10.5,N
4,DeAndre Hopkins,WR,TEN,CIN,13.1,10.3,N
4,Breece Hall,RB,NYJ,KC,11.4,9.9,N
4,George Kittle,TE,SF,ARI,11.2,1.9,N
4,Kenneth Walker III,RB,SEA,NYG,17.6,13.9,N
4,Alvin Kamara,RB,NO,TB,14.5,21.4,N
4,Rachaad White,RB,TB,NO,12.9,10.8,N
4,Alexander Mattison,RB,MIN,CAR,15.2,10.8,N
4,D.J. Moore,WR,CHI,DEN,12.3,27.1,N
4,Chris Godwin,WR,TB,NO,12.7,19.4,N
4,James Conner,RB,ARI,SF,14.1,6.6,N
4,Miles Sanders,RB,CAR,MIN,15.6,6.2,N
4,Trevor Lawrence,QB,JAX,ATL,15.9,16.48,N
4,James Cook,RB,BUF,MIA,14.9,14.7,N
4,Mike Evans,WR,TB,NO,14.1,7,Y
4,Terry McLaurin,WR,WAS,PHI,12.8,22.6,N
4,Tyler Lockett,WR,SEA,NYG,13.3,9.4,N
4,Javonte Williams,RB,DEN,CHI,12.6,3.9,Y
4,Isiah Pacheco,RB,KC,NYJ,13.3,24.8,N
4,Brandon Aiyuk,WR,SF,ARI,13.8,20.8,N
4,Jerry Jeudy,WR,DEN,CHI,13.4,8.2,N
4,David Montgomery,RB,DET,GB,12.7,34.1,N
4,George Pickens,WR,PIT,HOU,14.2,5.5,N
4,Evan Engram,TE,JAX,ATL,10.4,12.9,N
4,Marquise Brown,WR,ARI,SF,13.3,16.6,N
4,Christian Kirk,WR,JAX,ATL,12,16.4,N
4,Kirk Cousins,QB,MIN,CAR,19.1,9.56,N
4,D'Andre Swift,RB,PHI,WAS,14.3,17.9,N
4,Michael Pittman Jr.,WR,IND,LAR,15,4.5,N
4,Dak Prescott,QB,DAL,NE,14.3,14.34,N
4,Khalil Herbert,RB,CHI,DEN,12.1,22.2,N
4,Courtland Sutton,WR,DEN,CHI,13.8,11.7,N
4,Jahan Dotson,WR,WAS,PHI,10.4,12.7,N
4,Brian Robinson Jr.,RB,WAS,PHI,11.3,13.1,N
4,Geno Smith,QB,SEA,NYG,17.4,9.2,N
4,Russell Wilson,QB,DEN,CHI,18.6,22.22,N
4,Tua Tagovailoa,QB,MIA,BUF,18.5,13.98,N
4,Daniel Jones,QB,NYG,SEA,17.6,8.72,N
4,Anthony Richardson,QB,IND,LAR,20.2,29.6,N
4,Sam Howell,QB,WAS,PHI,14.1,19.6,N
4,Matthew Stafford,QB,LAR,IND,14.4,16.16,N
4,Jared Goff,QB,DET,GB,15,11.4,N
4,Jordan Love,QB,GB,DET,16.8,17.64,N
4,Derek Carr,QB,NO,TB,14.5,3.18,N
4,Mac Jones,QB,NE,DAL,13.6,0.7,N
4,Baker Mayfield,QB,TB,NO,13.4,22.94,N
4,Ryan Tannehill,QB,TEN,CIN,13.8,12.7,N
4,Kenny Pickett,QB,PIT,HOU,16.4,3.46,Y
4,Bryce Young,QB,CAR,MIN,15.4,7.16,N
4,Brock Purdy,QB,SF,ARI,17.9,21.32,N
4,C.J. Stroud,QB,HOU,PIT,15.3,21.84,N
